epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8224,2.68774,8.02401,1.74242,0.80947,0.1518,0.17608,0.07215,2.2547,8.16444,1.51754,0.0700667,0.00332593,0.00332593
2,169.775,2.12435,5.85496,1.41137,0.537,0.34026,0.3487,0.15073,1.96926,5.60836,1.41718,0.040065,0.00665763,0.00665763
3,347.341,2.02329,5.33528,1.35932,0.45911,0.33524,0.33442,0.15373,1.92068,5.56599,1.38856,0.0100569,0.00998283,0.00998283
1,83.7654,2.68774,8.02402,1.74242,0.81139,0.15223,0.1755,0.07183,2.25517,8.15799,1.51745,0.0700667,0.00332593,0.00332593
2,175.522,2.12616,5.85553,1.41165,0.62388,0.25899,0.27135,0.12161,2.09908,7.0113,1.48814,0.040065,0.00665763,0.00665763
3,270.138,2.0239,5.35013,1.36106,0.5261,0.39296,0.41044,0.18685,1.84089,4.99092,1.31642,0.0100569,0.00998283,0.00998283
4,385.945,1.94133,5.09076,1.32767,0.59988,0.39792,0.43211,0.20002,1.83639,4.99444,1.33352,0.00997803,0.00997803,0.00997803
5,485.157,1.90356,4.87211,1.30086,0.53988,0.37679,0.40367,0.18792,1.92528,5.24331,1.38303,0.00996097,0.00996097,0.00996097
6,582.099,1.87187,4.67405,1.2826,0.6206,0.4591,0.49214,0.23732,1.76596,4.71558,1.27797,0.00993906,0.00993906,0.00993906
7,681.593,1.84221,4.57209,1.26374,0.69368,0.4536,0.51977,0.25167,1.73744,4.7653,1.26348,0.00991232,0.00991232,0.00991232
8,793.56,1.81598,4.46084,1.2409,0.60596,0.51253,0.54164,0.26767,1.71962,4.25047,1.23533,0.00988079,0.00988079,0.00988079
9,890.469,1.79313,4.36466,1.23013,0.62853,0.51053,0.54923,0.26941,1.71702,4.13501,1.22739,0.00984449,0.00984449,0.00984449
10,985.099,1.78416,4.30928,1.22266,0.62047,0.45982,0.49455,0.23842,1.7662,4.63576,1.26705,0.00980345,0.00980345,0.00980345
11,1081.23,1.76442,4.23925,1.21288,0.66299,0.49937,0.55666,0.27857,1.71425,4.18352,1.23478,0.00975773,0.00975773,0.00975773
12,1211.55,1.76054,4.16266,1.20733,0.67492,0.5439,0.59355,0.30079,1.64569,4.02115,1.20316,0.00970736,0.00970736,0.00970736
13,1356.64,1.74481,4.12324,1.20036,0.65441,0.52644,0.57104,0.28629,1.6862,4.01556,1.22832,0.00965239,0.00965239,0.00965239
14,1500.41,1.74188,4.09129,1.19414,0.69383,0.54862,0.60673,0.30617,1.65888,3.82199,1.19502,0.00959289,0.00959289,0.00959289
15,1625.66,1.73027,4.00599,1.18394,0.69098,0.55767,0.62014,0.32084,1.63755,3.78058,1.18913,0.00952889,0.00952889,0.00952889
16,1727.11,1.71385,3.99648,1.17983,0.71008,0.54454,0.60458,0.30433,1.65995,3.95766,1.20051,0.00946048,0.00946048,0.00946048
17,1823.5,1.71567,3.95029,1.17708,0.69,0.56652,0.61795,0.31559,1.64769,3.78025,1.18296,0.00938772,0.00938772,0.00938772
18,1921.39,1.69809,3.88713,1.16812,0.71583,0.56557,0.62485,0.32175,1.62657,3.75921,1.17876,0.00931067,0.00931067,0.00931067
19,2050.45,1.69793,3.8615,1.16689,0.71521,0.58501,0.64836,0.33633,1.62056,3.61124,1.16783,0.00922942,0.00922942,0.00922942
20,2148.02,1.68962,3.80751,1.16428,0.72794,0.58544,0.6529,0.3412,1.60621,3.63145,1.16543,0.00914405,0.00914405,0.00914405
21,2244.11,1.68056,3.77684,1.16018,0.71293,0.58808,0.64759,0.33997,1.60008,3.62057,1.15852,0.00905463,0.00905463,0.00905463
22,2340.8,1.68079,3.79815,1.15782,0.71559,0.60162,0.66373,0.34745,1.60706,3.53919,1.15797,0.00896127,0.00896127,0.00896127
23,2492.86,1.67091,3.72903,1.1545,0.73427,0.59892,0.66467,0.35033,1.60222,3.55229,1.15381,0.00886404,0.00886404,0.00886404
